Food Name,Category,Calories (per 100g),Carbs (g),Protein (g),Fat (g),Serving Size (g),Meal Time,Dietary Suitability,Ingredients,Description
Idli,Breakfast,115,52.8,19.2,29.0,250,Afternoon,Weight Gain,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Mutton Curry,Side Dish,196,62.8,10.1,29.0,100,Anytime,Weight Gain,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Mint Chutney,Side Dish,308,12.8,13.3,11.0,250,Morning,Weight Gain,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Filter Coffee,Beverage,259,69.7,5.8,22.6,250,Afternoon,Diabetic Friendly,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Pesarattu,Breakfast,116,65.4,11.4,2.9,250,Afternoon,Weight Loss,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Tamarind Rice,Lunch,63,19.2,16.8,7.2,250,Afternoon,Weight Gain,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Paneer Butter Masala,Side Dish,364,26.7,15.5,17.3,300,Morning,Immunity Boost,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Bhindi Fry,Side Dish,359,63.9,15.9,28.6,200,Anytime,Weight Gain,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Parotta,Dinner,395,18.1,4.7,28.6,100,Evening,Diabetic Friendly,Ingredients Not Available,Parotta is a popular dish served as dinner.
Fish Fry,Side Dish,114,33.5,12.8,3.6,150,Evening,Diabetic Friendly,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Biryani,Lunch,211,28.5,11.6,11.3,200,Afternoon,Weight Loss,Ingredients Not Available,Biryani is a popular dish served as lunch.
Fruits Bowl,Snack,168,34.8,13.2,10.0,250,Evening,Diabetic Friendly,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Ghee Rice,Lunch,217,31.3,5.2,27.2,300,Afternoon,Weight Gain,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Egg Dosa,Breakfast,333,30.8,14.1,24.8,150,Morning,Diabetic Friendly,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Payasam,Dessert,106,32.4,18.8,26.9,300,Evening,Immunity Boost,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Payasam,Dessert,143,54.1,9.7,9.9,150,Morning,Weight Loss,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Coconut Chutney,Side Dish,178,63.5,8.6,22.9,100,Evening,Diabetic Friendly,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Vegetable Salad,Snack,303,49.2,14.0,28.7,200,Afternoon,Weight Loss,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Vegetable Pulao,Lunch,355,46.9,3.1,20.9,200,Anytime,Weight Loss,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Idiyappam,Breakfast,287,38.6,3.7,26.6,100,Morning,Diabetic Friendly,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Fish Fry,Side Dish,351,26.3,5.1,18.3,300,Anytime,Diabetic Friendly,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Dal Tadka,Side Dish,237,69.2,6.6,10.1,100,Afternoon,Weight Loss,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Beans Stir Fry,Side Dish,250,13.6,10.0,29.9,250,Anytime,Weight Loss,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Beans Stir Fry,Side Dish,188,27.4,14.6,24.1,250,Afternoon,Balanced Diet,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Chicken Curry,Side Dish,317,63.2,18.1,26.4,300,Anytime,Balanced Diet,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Tamarind Rice,Lunch,77,48.4,13.9,10.9,250,Afternoon,Balanced Diet,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Curd Rice,Lunch,289,25.8,12.8,15.6,250,Anytime,Diabetic Friendly,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Kuzhambu,Side Dish,122,46.6,18.7,11.3,200,Anytime,Balanced Diet,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Beans Stir Fry,Side Dish,107,69.4,18.5,28.0,100,Morning,Balanced Diet,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Kootu,Side Dish,128,37.2,8.9,8.7,200,Evening,Diabetic Friendly,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
